Diagnosis Year,Cancer type,Gender,Stage,Age At Diagnosis,Years Since Diagnosis,Patients,Survival (%)
2015-2019,Bladder,Female,All stages combined,15-44,1,37,40.6
2015-2019,Bladder,Female,All stages combined,45-54,1,109,62.3
2015-2019,Bladder,Female,All stages combined,55-64,1,298,70
2015-2019,Bladder,Female,All stages combined,65-74,1,586,61.8
2015-2019,Bladder,Female,All stages combined,75-99,1,1229,50.9
2015-2019,Bladder,Female,All stages combined,All ages,1,2259,56.6
2015-2019,Bladder,Female,All stages combined,All ages,1,2259,58.4
2015-2019,Bladder,Female,All stages combined,55-64,2,298,56.9
2015-2019,Bladder,Female,All stages combined,65-74,2,586,51.1
2015-2019,Bladder,Female,All stages combined,75-99,2,1229,37
2015-2019,Bladder,Female,All stages combined,All ages,2,2259,43.8
2015-2019,Bladder,Female,All stages combined,All ages,2,2259,46.6
2015-2019,Bladder,Female,All stages combined,55-64,3,298,52.8
2015-2019,Bladder,Female,All stages combined,65-74,3,586,46.9
2015-2019,Bladder,Female,All stages combined,75-99,3,1229,32.6
2015-2019,Bladder,Female,All stages combined,All ages,3,2259,39.5
2015-2019,Bladder,Female,All stages combined,All ages,3,2259,42.3
2015-2019,Bladder,Female,All stages combined,55-64,4,298,50.1
2015-2019,Bladder,Female,All stages combined,65-74,4,586,43.8
2015-2019,Bladder,Female,All stages combined,75-99,4,1229,27.3
2015-2019,Bladder,Female,All stages combined,All ages,4,2259,35.2
2015-2019,Bladder,Female,All stages combined,All ages,4,2259,38.1
2015-2019,Bladder,Female,All stages combined,55-64,5,298,47.3
2015-2019,Bladder,Female,All stages combined,65-74,5,586,41.6
2015-2019,Bladder,Female,All stages combined,75-99,5,1229,25.5
2015-2019,Bladder,Female,All stages combined,All ages,5,2259,33.2
2015-2019,Bladder,Female,All stages combined,15-44,1,40,71.9
2015-2019,Bladder,Female,All stages combined,45-54,1,105,59.2
2015-2019,Bladder,Female,All stages combined,55-64,1,257,70.3
2015-2019,Bladder,Female,All stages combined,65-74,1,569,66.9
2015-2019,Bladder,Female,All stages combined,75-99,1,1275,47.2
2015-2019,Bladder,Female,All stages combined,All ages,1,2246,55.8
2015-2019,Bladder,Female,All stages combined,All ages,1,2246,60.6
2015-2019,Bladder,Female,All stages combined,15-44,2,40,58
2015-2019,Bladder,Female,All stages combined,45-54,2,105,52.2
2015-2019,Bladder,Female,All stages combined,55-64,2,257,60.4
2015-2019,Bladder,Female,All stages combined,65-74,2,569,56.6
2015-2019,Bladder,Female,All stages combined,75-99,2,1275,37.1
2015-2019,Bladder,Female,All stages combined,All ages,2,2246,45.8
2015-2019,Bladder,Female,All stages combined,All ages,2,2246,50.4
2015-2019,Bladder,Female,All stages combined,55-64,3,257,57.6
2015-2019,Bladder,Female,All stages combined,65-74,3,569,52.3
2015-2019,Bladder,Female,All stages combined,75-99,3,1275,32.1
2015-2019,Bladder,Female,All stages combined,All ages,3,2246,41.5
2015-2019,Bladder,Female,All stages combined,All ages,3,2246,46.5
2015-2019,Bladder,Female,All stages combined,55-64,4,257,55.9
2015-2019,Bladder,Female,All stages combined,65-74,4,569,50.1
2015-2019,Bladder,Female,All stages combined,75-99,4,1275,30.2
2015-2019,Bladder,Female,All stages combined,All ages,4,2246,39.5
2015-2019,Bladder,Female,All stages combined,All ages,4,2246,44.6
2015-2019,Bladder,Female,All stages combined,55-64,5,257,53.8
2015-2019,Bladder,Female,All stages combined,65-74,5,569,49.2
2015-2019,Bladder,Female,All stages combined,75-99,5,1275,27.1
2015-2019,Bladder,Female,All stages combined,All ages,5,2246,37.1
2015-2019,Bladder,Female,All stages combined,15-44,1,23,65.3
2015-2019,Bladder,Female,All stages combined,45-54,1,97,70.2
2015-2019,Bladder,Female,All stages combined,55-64,1,246,68.1
2015-2019,Bladder,Female,All stages combined,65-74,1,598,71.2
2015-2019,Bladder,Female,All stages combined,75-99,1,1487,52.7
2015-2019,Bladder,Female,All stages combined,All ages,1,2451,59.6
2015-2019,Bladder,Female,All stages combined,All ages,1,2451,64.1
2015-2019,Bladder,Female,All stages combined,15-44,2,23,61
2015-2019,Bladder,Female,All stages combined,45-54,2,97,53.7
2015-2019,Bladder,Female,All stages combined,55-64,2,246,57.1
2015-2019,Bladder,Female,All stages combined,65-74,2,598,61.4
2015-2019,Bladder,Female,All stages combined,75-99,2,1487,42.3
2015-2019,Bladder,Female,All stages combined,All ages,2,2451,49.1
2015-2019,Bladder,Female,All stages combined,All ages,2,2451,53.3
2015-2019,Bladder,Female,All stages combined,55-64,3,246,51.5
2015-2019,Bladder,Female,All stages combined,65-74,3,598,57.7
2015-2019,Bladder,Female,All stages combined,75-99,3,1487,37.2
2015-2019,Bladder,Female,All stages combined,All ages,3,2451,44.2
2015-2019,Bladder,Female,All stages combined,All ages,3,2451,48.1
2015-2019,Bladder,Female,All stages combined,55-64,4,246,49.2
2015-2019,Bladder,Female,All stages combined,65-74,4,598,53.7
2015-2019,Bladder,Female,All stages combined,75-99,4,1487,35.2
2015-2019,Bladder,Female,All stages combined,All ages,4,2451,41.8
2015-2019,Bladder,Female,All stages combined,65-74,5,598,53
2015-2019,Bladder,Female,All stages combined,75-99,5,1487,33
2015-2019,Bladder,Female,All stages combined,All ages,5,2451,40.3
2015-2019,Bladder,Female,All stages combined,15-44,1,19,68.5
2015-2019,Bladder,Female,All stages combined,45-54,1,85,71.6
2015-2019,Bladder,Female,All stages combined,55-64,1,211,73.6
2015-2019,Bladder,Female,All stages combined,65-74,1,564,73.9
2015-2019,Bladder,Female,All stages combined,75-99,1,1478,52.6
2015-2019,Bladder,Female,All stages combined,All ages,1,2357,60.4
2015-2019,Bladder,Female,All stages combined,All ages,1,2357,66.3
2015-2019,Bladder,Female,All stages combined,55-64,2,211,65.9
2015-2019,Bladder,Female,All stages combined,65-74,2,564,62
2015-2019,Bladder,Female,All stages combined,75-99,2,1478,42
2015-2019,Bladder,Female,All stages combined,All ages,2,2357,49.8
2015-2019,Bladder,Female,All stages combined,All ages,2,2357,56.2
2015-2019,Bladder,Female,All stages combined,55-64,3,211,62.4
2015-2019,Bladder,Female,All stages combined,65-74,3,564,55.8
2015-2019,Bladder,Female,All stages combined,75-99,3,1478,37.9
2015-2019,Bladder,Female,All stages combined,All ages,3,2357,45.4
2015-2019,Bladder,Female,All stages combined,All ages,3,2357,52.1
2015-2019,Bladder,Female,All stages combined,55-64,4,211,60.4
2015-2019,Bladder,Female,All stages combined,65-74,4,564,54.4
2015-2019,Bladder,Female,All stages combined,75-99,4,1478,35.4
2015-2019,Bladder,Female,All stages combined,All ages,4,2357,43.2
2015-2019,Bladder,Female,All stages combined,55-64,5,211,57.7
2015-2019,Bladder,Female,All stages combined,65-74,5,564,54.3
2015-2019,Bladder,Female,All stages combined,75-99,5,1478,33.9
2015-2019,Bladder,Female,All stages combined,All ages,5,2357,42
2015-2019,Bladder,Female,All stages combined,15-44,1,16,81.3
2015-2019,Bladder,Female,All stages combined,45-54,1,59,83
2015-2019,Bladder,Female,All stages combined,55-64,1,197,81.5
2015-2019,Bladder,Female,All stages combined,65-74,1,562,74.9
2015-2019,Bladder,Female,All stages combined,75-99,1,1443,56.9
2015-2019,Bladder,Female,All stages combined,All ages,1,2277,64.3
2015-2019,Bladder,Female,All stages combined,All ages,1,2277,71.8
2015-2019,Bladder,Female,All stages combined,55-64,2,197,71.8
2015-2019,Bladder,Female,All stages combined,65-74,2,562,65.2
2015-2019,Bladder,Female,All stages combined,75-99,2,1443,44.3
2015-2019,Bladder,Female,All stages combined,All ages,2,2277,52.5
2015-2019,Bladder,Female,All stages combined,All ages,2,2277,59.2
2015-2019,Bladder,Female,All stages combined,55-64,3,197,69.4
2015-2019,Bladder,Female,All stages combined,65-74,3,562,57.7
2015-2019,Bladder,Female,All stages combined,75-99,3,1443,38.3
2015-2019,Bladder,Female,All stages combined,All ages,3,2277,46.6
2015-2019,Bladder,Female,All stages combined,All ages,3,2277,53.7
2015-2019,Bladder,Female,All stages combined,55-64,4,197,68.8
2015-2019,Bladder,Female,All stages combined,65-74,4,562,54.4
2015-2019,Bladder,Female,All stages combined,75-99,4,1443,36
2015-2019,Bladder,Female,All stages combined,All ages,4,2277,44.1
2015-2019,Bladder,Female,All stages combined,All ages,4,2277,50.8
2015-2019,Bladder,Female,All stages combined,55-64,5,197,66.1
2015-2019,Bladder,Female,All stages combined,65-74,5,562,51.5
2015-2019,Bladder,Female,All stages combined,75-99,5,1443,34.3
2015-2019,Bladder,Female,All stages combined,All ages,5,2277,42.1
2015-2019,Bladder,Female,1,15-44,1,23,95.7
2015-2019,Bladder,Female,1,45-54,1,110,97.4
2015-2019,Bladder,Female,1,55-64,1,388,95.5
2015-2019,Bladder,Female,1,65-74,1,1060,94
2015-2019,Bladder,Female,1,75-99,1,2043,87
2015-2019,Bladder,Female,1,All ages,1,3624,90.3
2015-2019,Bladder,Female,1,All ages,1,3624,92.8
2015-2019,Bladder,Female,1,55-64,2,388,92.1
2015-2019,Bladder,Female,1,65-74,2,1060,88.9
2015-2019,Bladder,Female,1,75-99,2,2043,78.7
2015-2019,Bladder,Female,1,All ages,2,3624,83.7
2015-2019,Bladder,Female,1,All ages,2,3624,87.5
2015-2019,Bladder,Female,1,55-64,3,388,89.8
2015-2019,Bladder,Female,1,65-74,3,1060,84.7
2015-2019,Bladder,Female,1,75-99,3,2043,73.1
2015-2019,Bladder,Female,1,All ages,3,3624,79.1
2015-2019,Bladder,Female,1,55-64,4,388,87.5
2015-2019,Bladder,Female,1,65-74,4,1060,82.7
2015-2019,Bladder,Female,1,75-99,4,2043,68.7
2015-2019,Bladder,Female,1,All ages,4,3624,75.7
2015-2019,Bladder,Female,1,55-64,5,388,86.8
2015-2019,Bladder,Female,1,65-74,5,1060,80.5
2015-2019,Bladder,Female,1,75-99,5,2043,66
2015-2019,Bladder,Female,1,All ages,5,3624,73.5
2015-2019,Bladder,Female,2,15-44,1,23,60.9
2015-2019,Bladder,Female,2,45-54,1,103,81.7
2015-2019,Bladder,Female,2,55-64,1,272,78
2015-2019,Bladder,Female,2,65-74,1,683,70.4
2015-2019,Bladder,Female,2,75-99,1,1690,56
2015-2019,Bladder,Female,2,All ages,1,2771,62.7
2015-2019,Bladder,Female,2,All ages,1,2771,68
2015-2019,Bladder,Female,2,15-44,2,23,51.9
2015-2019,Bladder,Female,2,45-54,2,103,66.7
2015-2019,Bladder,Female,2,55-64,2,272,60.9
2015-2019,Bladder,Female,2,65-74,2,683,55.1
2015-2019,Bladder,Female,2,75-99,2,1690,39.1
2015-2019,Bladder,Female,2,All ages,2,2771,46.3
2015-2019,Bladder,Female,2,All ages,2,2771,52
2015-2019,Bladder,Female,2,55-64,3,272,56.4
2015-2019,Bladder,Female,2,65-74,3,683,48.8
2015-2019,Bladder,Female,2,75-99,3,1690,32.3
2015-2019,Bladder,Female,2,All ages,3,2771,40.1
2015-2019,Bladder,Female,2,All ages,3,2771,47
2015-2019,Bladder,Female,2,55-64,4,272,54.1
2015-2019,Bladder,Female,2,65-74,4,683,45.2
2015-2019,Bladder,Female,2,75-99,4,1690,29.1
2015-2019,Bladder,Female,2,All ages,4,2771,36.8
2015-2019,Bladder,Female,2,All ages,4,2771,43.4
2015-2019,Bladder,Female,2,55-64,5,272,50.3
2015-2019,Bladder,Female,2,65-74,5,683,44.5
2015-2019,Bladder,Female,2,75-99,5,1690,27
2015-2019,Bladder,Female,2,All ages,5,2771,34.8
2015-2019,Bladder,Female,3,15-44,1,21,66.7
2015-2019,Bladder,Female,3,45-54,1,85,64.9
2015-2019,Bladder,Female,3,55-64,1,178,68.7
2015-2019,Bladder,Female,3,65-74,1,324,60.4
2015-2019,Bladder,Female,3,75-99,1,541,41
2015-2019,Bladder,Female,3,All ages,1,1149,53
2015-2019,Bladder,Female,3,All ages,1,1149,56.5
2015-2019,Bladder,Female,3,55-64,2,178,54
2015-2019,Bladder,Female,3,65-74,2,324,46.8
2015-2019,Bladder,Female,3,75-99,2,541,28.2
2015-2019,Bladder,Female,3,All ages,2,1149,39.1
2015-2019,Bladder,Female,3,All ages,2,1149,41.7
2015-2019,Bladder,Female,3,55-64,3,178,45.6
2015-2019,Bladder,Female,3,65-74,3,324,42.8
2015-2019,Bladder,Female,3,75-99,3,541,24.1
2015-2019,Bladder,Female,3,All ages,3,1149,34.5
2015-2019,Bladder,Female,3,All ages,3,1149,36.9
2015-2019,Bladder,Female,3,65-74,4,324,40
2015-2019,Bladder,Female,3,75-99,4,541,21.3
2015-2019,Bladder,Female,3,All ages,4,1149,32.4
2015-2019,Bladder,Female,3,65-74,5,324,37.3
2015-2019,Bladder,Female,3,75-99,5,541,20.2
2015-2019,Bladder,Female,3,All ages,5,1149,30.7
2015-2019,Bladder,Female,4,15-44,1,45,35.6
2015-2019,Bladder,Female,4,45-54,1,109,30.3
2015-2019,Bladder,Female,4,55-64,1,223,34.7
2015-2019,Bladder,Female,4,65-74,1,474,30.2
2015-2019,Bladder,Female,4,75-99,1,963,18.5
2015-2019,Bladder,Female,4,All ages,1,1814,24.7
2015-2019,Bladder,Female,4,All ages,1,1814,27.4
2015-2019,Bladder,Female,4,55-64,2,223,23.2
2015-2019,Bladder,Female,4,65-74,2,474,17.8
2015-2019,Bladder,Female,4,75-99,2,963,8.6
2015-2019,Bladder,Female,4,All ages,2,1814,13.6
2015-2019,Bladder,Female,4,All ages,2,1814,15.2
2015-2019,Bladder,Female,4,55-64,3,223,20.8
2015-2019,Bladder,Female,4,65-74,3,474,12.2
2015-2019,Bladder,Female,4,75-99,3,963,6.1
2015-2019,Bladder,Female,4,All ages,3,1814,10
2015-2019,Bladder,Female,4,55-64,4,223,19.7
2015-2019,Bladder,Female,4,65-74,4,474,9.8
2015-2019,Bladder,Female,4,75-99,4,963,5.6
2015-2019,Bladder,Female,4,All ages,4,1814,8.9
2015-2019,Bladder,Female,4,55-64,5,223,16.4
2015-2019,Bladder,Female,4,All ages,5,1814,7.6
2015-2019,Bladder,Female,All stages combined,15-44,1,135,62.7
2015-2019,Bladder,Female,All stages combined,45-54,1,455,67.7
2015-2019,Bladder,Female,All stages combined,55-64,1,1209,72.2
2015-2019,Bladder,Female,All stages combined,65-74,1,2879,69.7
2015-2019,Bladder,Female,All stages combined,75-99,1,6912,52.2
2015-2019,Bladder,Female,All stages combined,All ages,1,11590,59.4
2015-2019,Bladder,Female,All stages combined,All ages,1,11590,63.9
2015-2019,Bladder,Female,All stages combined,15-44,2,135,51.5
2015-2019,Bladder,Female,All stages combined,45-54,2,455,55.6
2015-2019,Bladder,Female,All stages combined,55-64,2,1209,61.7
2015-2019,Bladder,Female,All stages combined,65-74,2,2879,59.2
2015-2019,Bladder,Female,All stages combined,75-99,2,6912,40.8
2015-2019,Bladder,Female,All stages combined,All ages,2,11590,48.2
2015-2019,Bladder,Female,All stages combined,All ages,2,11590,52.7
2015-2019,Bladder,Female,All stages combined,15-44,3,135,46
2015-2019,Bladder,Female,All stages combined,45-54,3,455,53.1
2015-2019,Bladder,Female,All stages combined,55-64,3,1209,58
2015-2019,Bladder,Female,All stages combined,65-74,3,2879,54.1
2015-2019,Bladder,Female,All stages combined,75-99,3,6912,35.9
2015-2019,Bladder,Female,All stages combined,All ages,3,11590,43.5
2015-2019,Bladder,Female,All stages combined,All ages,3,11590,48.1
2015-2019,Bladder,Female,All stages combined,55-64,4,1209,56.1
2015-2019,Bladder,Female,All stages combined,65-74,4,2879,51.3
2015-2019,Bladder,Female,All stages combined,75-99,4,6912,33.1
2015-2019,Bladder,Female,All stages combined,All ages,4,11590,40.8
2015-2019,Bladder,Female,All stages combined,All ages,4,11590,45.7
2015-2019,Bladder,Female,All stages combined,55-64,5,1209,54
2015-2019,Bladder,Female,All stages combined,65-74,5,2879,49.9
2015-2019,Bladder,Female,All stages combined,75-99,5,6912,31
2015-2019,Bladder,Female,All stages combined,All ages,5,11590,39
2015-2019,Bladder,Male,All stages combined,15-44,1,59,86.5
2015-2019,Bladder,Male,All stages combined,45-54,1,288,75.3
2015-2019,Bladder,Male,All stages combined,55-64,1,807,78.8
2015-2019,Bladder,Male,All stages combined,65-74,1,1641,74.9
2015-2019,Bladder,Male,All stages combined,75-99,1,2509,65.5
2015-2019,Bladder,Male,All stages combined,All ages,1,5304,71.2
2015-2019,Bladder,Male,All stages combined,All ages,1,5304,73.7
2015-2019,Bladder,Male,All stages combined,15-44,2,59,73.6
2015-2019,Bladder,Male,All stages combined,45-54,2,288,65
2015-2019,Bladder,Male,All stages combined,55-64,2,807,69.4
2015-2019,Bladder,Male,All stages combined,65-74,2,1641,64.5
2015-2019,Bladder,Male,All stages combined,75-99,2,2509,54.5
2015-2019,Bladder,Male,All stages combined,All ages,2,5304,60.6
2015-2019,Bladder,Male,All stages combined,All ages,2,5304,63.1
2015-2019,Bladder,Male,All stages combined,15-44,3,59,71.6
2015-2019,Bladder,Male,All stages combined,45-54,3,288,60.2
2015-2019,Bladder,Male,All stages combined,55-64,3,807,64.2
2015-2019,Bladder,Male,All stages combined,65-74,3,1641,58.4
2015-2019,Bladder,Male,All stages combined,75-99,3,2509,47.4
2015-2019,Bladder,Male,All stages combined,All ages,3,5304,54.3
2015-2019,Bladder,Male,All stages combined,All ages,3,5304,57.2
2015-2019,Bladder,Male,All stages combined,55-64,4,807,61.3
2015-2019,Bladder,Male,All stages combined,65-74,4,1641,54.7
2015-2019,Bladder,Male,All stages combined,75-99,4,2509,40.7
2015-2019,Bladder,Male,All stages combined,All ages,4,5304,49.3
2015-2019,Bladder,Male,All stages combined,All ages,4,5304,52.5
2015-2019,Bladder,Male,All stages combined,55-64,5,807,59.1
2015-2019,Bladder,Male,All stages combined,65-74,5,1641,51.7
2015-2019,Bladder,Male,All stages combined,75-99,5,2509,37.6
2015-2019,Bladder,Male,All stages combined,All ages,5,5304,46.3
2015-2019,Bladder,Male,All stages combined,All ages,5,5304,49.5
2015-2019,Bladder,Male,All stages combined,15-44,1,59,70.8
2015-2019,Bladder,Male,All stages combined,45-54,1,243,85.8
2015-2019,Bladder,Male,All stages combined,55-64,1,701,83.1
2015-2019,Bladder,Male,All stages combined,65-74,1,1829,78.3
2015-2019,Bladder,Male,All stages combined,75-99,1,3045,67.1
2015-2019,Bladder,Male,All stages combined,All ages,1,5877,73.3
2015-2019,Bladder,Male,All stages combined,All ages,1,5877,76.2
2015-2019,Bladder,Male,All stages combined,15-44,2,59,63.3
2015-2019,Bladder,Male,All stages combined,45-54,2,243,76.6
2015-2019,Bladder,Male,All stages combined,55-64,2,701,74
2015-2019,Bladder,Male,All stages combined,65-74,2,1829,67.8
2015-2019,Bladder,Male,All stages combined,75-99,2,3045,54.8
